sample_id,psnr,ssim,lpips
10140071_60060_88088,34.88315142174511,0.9057651162147522,0.08342629671096802
10140071_60368_34804,34.49919784345036,0.8871287703514099,0.08153404295444489
10140071_60676_64372,37.824400851354675,0.9296165108680725,0.0841202512383461
10140071_60676_69916,33.312622831683704,0.8815133571624756,0.1415889859199524
10140071_61292_48664,33.79076303380063,0.8959336280822754,0.08742670714855194
10140071_61292_52976,36.023212301176684,0.927649736404419,0.0599842332303524
10140071_61292_53592,34.33226868449242,0.8913040161132812,0.0971866101026535
10140071_61292_54516,35.39475761557589,0.9059649109840393,0.08015535026788712
10140071_61600_15092,31.63016662400176,0.8735125660896301,0.08839188516139984
10140071_61600_35112,35.404226764044296,0.9096422791481018,0.05368432402610779
10140071_61600_49280,35.65760262668145,0.9112372994422913,0.09032266587018967
10140071_61600_87164,31.59747904248252,0.8787398934364319,0.06708826869726181
10140071_616_32032,32.39779334935915,0.804445743560791,0.22269907593727112
10140071_616_60368,34.03807141592622,0.8623514175415039,0.15689587593078613
10140071_61908_13244,34.793103012710105,0.8764051795005798,0.14452846348285675
10140071_61908_50512,33.40052585865214,0.8835742473602295,0.09667902439832687
10140071_61908_63756,36.37386629882937,0.9269752502441406,0.07952477037906647
10140071_62216_78232,35.4475664842756,0.900160551071167,0.11512075364589691
10140071_62216_85932,35.743679609915134,0.9120796322822571,0.08599777519702911
10140071_62524_38192,36.19159290516319,0.9259170889854431,0.06941192597150803
10140071_62832_48664,36.57482819353961,0.9116637706756592,0.10182949155569077
10140071_63140_48972,35.630465500693454,0.9080789685249329,0.09056995809078217
10140071_63140_59444,31.662591478561506,0.8800482153892517,0.13217465579509735
10140071_63140_65296,34.82517998243107,0.9302493929862976,0.05864300578832626
10140071_63448_43120,33.230733029102815,0.9056439399719238,0.06335578858852386
10140071_64372_55748,34.21240197101599,0.8597012162208557,0.13685783743858337
10140071_64372_74228,33.740678103237705,0.9050178527832031,0.1030854731798172
10140071_64680_26180,33.104467540427684,0.8934463858604431,0.0788722112774849
10140071_6468_26796,34.393022328325294,0.8759216666221619,0.12603260576725006
10140071_64988_67760,32.833996712118136,0.9031320214271545,0.09808805584907532
10140071_65296_76692,36.29772303422782,0.9322002530097961,0.06096635013818741
10140071_65604_64988,34.30054691781599,0.9326165318489075,0.08054755628108978
10140071_65912_23716,29.9983330701979,0.8486072421073914,0.12401093542575836
10140071_67452_80388,33.15317909792952,0.901399552822113,0.10700500756502151
10140071_68684_47124,33.792022027370244,0.9176117777824402,0.06937059760093689
10140071_68684_71148,34.853685726888656,0.9286274909973145,0.06898214668035507
10140071_68992_59752,34.36011649037452,0.9066055417060852,0.08787336945533752
10140071_69916_38192,35.6112333345751,0.9105693697929382,0.07425232976675034
10140071_70224_79156,35.14765463842185,0.9360570311546326,0.059087928384542465
10140071_70532_68684,33.609530974888436,0.9012660980224609,0.07841338217258453
10140071_7084_66528,34.10460832259988,0.8801453113555908,0.10053708404302597
10140071_71456_22792,36.37698193006474,0.902972400188446,0.11266842484474182
10140071_71456_36036,36.496116791170344,0.9178908467292786,0.09289848804473877
10140071_72380_45584,36.02738694312325,0.9307541251182556,0.05558989569544792
10140071_72380_71764,33.92659363860283,0.90215665102005,0.07289035618305206
10140071_72688_22792,33.3539607718404,0.8531695008277893,0.15708214044570923
10140071_72996_23408,35.03674879853891,0.8850655555725098,0.15512649714946747
10140071_72996_33572,34.98866933855758,0.904883086681366,0.09279611706733704
10140071_72996_76692,37.67848533545913,0.9345353245735168,0.05724659189581871
10140071_73304_23716,33.66846824590852,0.8927083611488342,0.1031988114118576
10140071_73612_49280,34.157064011699426,0.8958633542060852,0.08349977433681488
10140071_73920_53900,38.605901647837015,0.935884952545166,0.06703179329633713
10140071_77000_36344,39.0566183276285,0.9495058059692383,0.05492295324802399
10140071_77000_46200,35.12774320473517,0.9056839346885681,0.09877978265285492
10140071_7700_63756,33.748221707734324,0.8622158169746399,0.11187514662742615
10140071_7700_73304,34.835581493312596,0.8917987942695618,0.11138457804918289
10140071_77924_61908,35.934760989368904,0.9213158488273621,0.073237344622612
